site_id,basin,visit_date,date_label,treatment,survey_type,species,stage,capture_animal_state,tad_stage,swab_id,bd_load,year_std,num_days
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,44,RKS10242,37104,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,44,RKS10243,27840,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,38,RKS10244,2496,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10245,105360,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,39,RKS10246,56304,0,2
11518,dusy,2010-08-02,1_experiment,treated,swab,ramu,subadult,healthy,NA,RKS10415,192,0,6
11518,dusy,2010-08-02,1_experiment,treated,swab,ramu,subadult,healthy,NA,RKS10416,0,0,6
11518,dusy,2010-08-02,1_experiment,treated,swab,ramu,subadult,healthy,NA,RKS10417,0,0,6
11518,dusy,2010-08-02,1_experiment,treated,swab,ramu,subadult,healthy,NA,RKS10418,0,0,6
11518,dusy,2010-08-02,1_experiment,treated,swab,ramu,subadult,healthy,NA,RKS10419,0,0,6
11518,dusy,2010-08-02,1_experiment,treated,swab,ramu,subadult,healthy,NA,RKS10420,96,0,6
11518,dusy,2010-08-02,1_experiment,treated,swab,ramu,subadult,healthy,NA,RKS10421,48,0,6
11518,dusy,2010-08-02,1_experiment,treated,swab,ramu,subadult,healthy,NA,RKS10422,0,0,6
11518,dusy,2010-08-02,1_experiment,treated,swab,ramu,subadult,healthy,NA,RKS10423,48,0,6
11518,dusy,2010-08-02,1_experiment,treated,swab,ramu,subadult,healthy,NA,RKS10424,0,0,6
11518,dusy,2010-08-02,1_experiment,treated,swab,ramu,subadult,healthy,NA,RKS10425,0,0,6
11518,dusy,2010-08-02,1_experiment,treated,swab,ramu,subadult,healthy,NA,RKS10426,0,0,6
11518,dusy,2010-08-02,1_experiment,treated,swab,ramu,subadult,healthy,NA,RKS10427,144,0,6
